Model,Train MSE,Test MSE,Train MAE,Test MAE,Train R²,Test R²,Overfitting Gap
Linear,10750.426240561972,7852.699573260913,72.33964628365797,61.37305630414466,0.7215621842987222,0.7824846509857863,-0.060922466687064136
Polynomial 2,0.2134975255308158,35.98648230238815,0.2844824272760878,1.1419256201938748,0.999994470378817,0.9990031947377114,0.0009912756411055712
Polynomial 3,0.1522552266874525,37.19873558825512,0.2712708734658084,1.4145334213604956,0.9999960565644748,0.9989696160054412,0.001026440559033559
